Dota 2, Counter-Strike Global Offensive, Team Fortress 2, Counter-Strike, Sid Meier's Civilization V, Counter-Strike Source, The Elder Scrolls V Skyrim, Garry's Mod, Call of Duty Modern Warfare 2 - Multiplayer, Left 4 Dead 2, Terraria, Football Manager 2013, Football Manager 2012, Warframe, Football Manager 2015, Football Manager 2014, Arma 3, Grand Theft Auto V, Borderlands 2, Empire Total War
93644606,DragonAgeOriginsUltimateEdition,GoatSimulator,Portal,SourceFilmmaker,Left4Dead,ChivalryMedievalWarfare,CounterStrikeSource,RealmoftheMadGod,HeroesGenerals,JustCause2,BattlefieldBadCompany2,HalfLife2EpisodeTwo,Arma2OperationArrowhead,HalfLife2,RIFT,FootballManager2013,DeathmatchClassic,TacticalIntervention,MedievalIITotalWar,TheElderScrollsIVOblivion
93669877,MedievalIITotalWar,APBReloaded,SpaceEngineers,TheWitcher2AssassinsofKingsEnhancedEdition,Besiege,MountBladeWarband,JustCause2,BioShock,OrcsMustDie,StarWarsKnightsoftheOldRepublic,WormsReloaded,BatmanArkhamOrigins,HalfLife2EpisodeOne,RocketLeague,DeusExHumanRevolutionDirectorsCut,MassEffect,Defiance,Trine,Warhammer40000DawnofWarIIChaosRising,Crysis2MaximumEdition
93724705,CounterStrikeGlobalOffensive,CallofDutyBlackOpsIIMultiplayer,PlanetSide2,CallofDutyWorldatWar,Arma2OperationArrowhead,AgeofEmpiresIIHDEdition,CallofDutyBlackOpsMultiplayer,DungeonDefenders,NoMoreRoominHell,AlienSwarm,CallofDutyAdvancedWarfareMultiplayer,Rust,KillingFloor,Spore,APBReloaded,Terraria,Besiege,CrysisWars,DayZ,Warhammer40000DawnofWarIIRetribution
93882483,Portal,AliensvsPredator,GoatSimulator,CallofDutyModernWarfare2,DontStarve,EuroTruckSimulator2,HalfLife,TombRaider,PAYDAYTheHeist,Left4Dead,CallofDutyBlackOps,CompanyofHeroesTalesofValor,ScribblenautsUnlimited,Spore,HalfLife2EpisodeTwo,SpiralKnights,H1Z1TestServer,SaintsRowTheThird,TeamFortressClassic,Overlord
94019469,PlanetSide2,Rust,7DaystoDie,TheForest,DungeonDefenders,PathofExile,PlanetaryAnnihilation,PrisonArchitect,Robocraft,Banished,AceofSpades,SidMeiersCivilizationV,InsurgencyModernInfantryCombat,TotalWarSHOGUN2,HalfLife2Deathmatch,MountBladeWarband,Warframe,CitiesSkylines,FootballManager2012,RiseofIncarnates
94088853,ARKSurvivalEvolved,MountBladeWarband,PlanetaryAnnihilation,XCOMEnemyUnknown,TotalWarSHOGUN2,CompanyofHeroes,HAWKEN,MedievalIITotalWar,BioShock,StrongholdKingdoms,SpaceEngineers,TomClancysGhostReconPhantomsNA,CallofDutyGhosts,EndlessSpace,DeathmatchClassic,CallofDutyAdvancedWarfareMultiplayer,StarWarsEmpireatWarGold,DontStarve,WaroftheRoses,Brawlhalla
94110492,ClickerHeroes,EmpireTotalWar,APBReloaded,Besiege,MountBladeWarband,AlienSwarm,DungeonDefenders,Trove,RiskofRain,CallofDutyAdvancedWarfareMultiplayer,StrongholdKingdoms,FracturedSpace,Banished,Tropico4,Left4Dead,StateofDecay,Spore,Warhammer40000DawnofWarII,SidMeiersCivilizationIIIComplete,Contagion
94120095,Unturned,CallofDutyBlackOps,Left4Dead2,DontStarve,GoatSimulator,NEOTOKYO,ArcheAge,NaturalSelection2,GarrysMod,NoMoreRoominHell,HalfLife2Deathmatch,ZombiePanicSource,ChivalryMedievalWarfare,Portal,HeroesGenerals,RACE07,HalfLifeDeathmatchSource,Borderlands,AlienSwarm,Torchlight
94145419,CallofDutyModernWarfare3Multiplayer,CallofDutyModernWarfare2,Portal,TeamFortress2,CallofDutyBlackOps,CastleCrashers,DontStarve,TombRaider,GoatSimulator,CallofDutyBlackOpsIIMultiplayer,WarThunder,JustCause2,TitanQuest,CallofDutyBlackOpsII,CrysisWars,AliensvsPredator,APBReloaded,Torchlight,StarWarsRepublicCommando,HalfLifeDeathmatchSource
94161846,CallofDutyBlackOpsIIMultiplayer,CastleCrashers,Dota2,DontStarve,FreeStyle2StreetBasketball,BatmanArkhamAsylumGOTYEdition,Rust,Robocraft,CallofDutyBlackOpsMultiplayer,Ricochet,TombRaider,FreetoPlay,AmericasArmyProvingGrounds,DiRT3,AliensvsPredator,EuroTruckSimulator2,AceofSpades,MagickaWizardWars,DirtyBomb,CounterStrikeNexonZombies
94195027,Dota2,Left4Dead2,Robocraft,Unturned,EuroTruckSimulator2,KillingFloor,CastleCrashers,Nosgoth,FistfulofFrags,Firefall,AgeofEmpiresIIHDEdition,TotalWarSHOGUN2,TeamFortressClassic,CounterStrikeConditionZero,MagickaWizardWars,CallofDutyBlackOpsMultiplayer,CounterStrikeSource,CallofDutyModernWarfare2Multiplayer,CallofDutyAdvancedWarfareMultiplayer,Loadout
94229851,HAWKEN,Sanctum2,MagicDuels,Left4Dead,DeathmatchClassic,GrandTheftAutoSanAndreas,TheElderScrollsIVOblivion,CallofDutyModernWarfare2,SuperMondayNightCombat,RIFT,HitmanSniperChallenge,SpeedRunners,CounterStrikeNexonZombies,Panzar,RocketLeague,TheElderScrollsVSkyrim,HotlineMiami,SniperEliteV2,Metro2033,DirtyBomb
94231294,NaturalSelection2,CompanyofHeroesNewSteamVersion,PlanetSide2,TheWitcher2AssassinsofKingsEnhancedEdition,Warframe,BioShock,MagicDuels,MetroLastLight,WolfensteinTheNewOrder,MassEffect,MedievalIITotalWar,Metro2033,Nosgoth,JustCause2,Outlast,HalfLife2EpisodeOne,DarksidersII,EuroTruckSimulator2,Thief,XCOMEnemyUnknown
94269421,Left4Dead,Defiance,NeedforSpeedHotPursuit,JustCause2,TheWitcher2AssassinsofKingsEnhancedEdition,AliensvsPredator,FarCry3,WormsReloaded,Metro2033,MagicDuels,MedievalIITotalWar,ChivalryMedievalWarfare,StarWarsKnightsoftheOldRepublic,Thief,BlacklightRetribution,HAWKEN,FootballManager2013,CallofDutyModernWarfare2,Tropico3SteamSpecialEdition,Crysis2MaximumEdition
94297466,FootballManager2013,Arma2OperationArrowhead,HalfLife2EpisodeOne,SpaceEngineers,AdVentureCapitalist,ARKSurvivalEvolved,TheForest,StarWarsKnightsoftheOldRepublic,RisingStormRedOrchestra2Multiplayer,MedievalIITotalWar,CompanyofHeroes,DivinityOriginalSin,GrandTheftAutoEpisodesfromLibertyCity,FootballManager2015,7DaystoDie,MountBladeWarband,Firefall,MedalofHonorTMMultiplayer,Arma3,TheElderScrollsVSkyrim
94299484,APBReloaded,CallofDutyModernWarfare2,RisingStormRedOrchestra2Multiplayer,HeroesGenerals,TheWitcher2AssassinsofKingsEnhancedEdition,CallofDutyModernWarfare3,AgeofEmpiresIIHDEdition,Firefall,MedievalIITotalWar,SpiralKnights,CompanyofHeroesNewSteamVersion,CompanyofHeroes,MountBladeWarband,HalfLife2EpisodeOne,HitmanAbsolution,Thief,Fallout4,Besiege,TheWalkingDead,TitanQuest
94335638,NaturalSelection2,CompanyofHeroesNewSteamVersion,MetroLastLight,BioShock,MagicDuels,MassEffect,TheWitcher2AssassinsofKingsEnhancedEdition,DarksidersII,DontStarve,PlanetSide2,LANoire,Outlast,TombRaider,WolfensteinTheNewOrder,MedievalIITotalWar,Nosgoth,Metro2033,ORIONPrelude,BatmanArkhamOrigins,JustCause2MultiplayerMod
94379559,CallofDutyModernWarfare3Multiplayer,TombRaider,CastleCrashers,DontStarve,Unturned,CallofDutyBlackOpsII,CallofDutyModernWarfare2,Portal,CallofDutyBlackOps,CallofDutyBlackOpsIIMultiplayer,Torchlight,BatmanArkhamAsylumGOTYEdition,GoatSimulator,MetroLastLight,AliensvsPredator,EuroTruckSimulator2,SpiralKnights,TeamFortress2,SaintsRowTheThird,HalfLifeDeathmatchSource
94428876,HeroesGenerals,CallofDutyModernWarfare2Multiplayer,PAYDAYTheHeist,DarkSoulsPreparetoDieEdition,Warface,TorchlightII,TheElderScrollsIVOblivion,WaroftheRoses,Left4Dead2,TheBindingofIsaac,Dishonored,RocketLeague,TeamFortress2,RogueLegacy,HalfLife2,TheWitcher3WildHunt,Left4Dead,Borderlands2,SouthParkTheStickofTruth,KerbalSpaceProgram
94510414,Unturned,Ricochet,CounterStrike,Warframe,Robocraft,PathofExile,CallofDutyBlackOpsIIMultiplayer,Rust,DCUniverseOnline,GrandTheftAutoV,DontStarve,CallofDutyBlackOps,CastleCrashers,Neverwinter,PAYDAY2,Nosgoth,EuroTruckSimulator2,CallofDutyModernWarfare3,DayZ,FreetoPlay
94521606,ArmaColdWarAssault,DungeonDefenders,GarrysMod,DeathmatchClassic,Portal2,AlienSwarm,CounterStrike,BattlefieldBadCompany2,OrcsMustDie2,NoMoreRoominHell,HeroesGenerals,MirrorsEdge,CallofDutyBlackOpsMultiplayer,Portal,AgeofEmpiresIIICompleteCollection,Arma2OperationArrowhead,DeadIslandRiptide,CounterStrikeGlobalOffensive,CallofDutyWorldatWar,SakuraClicker
94670160,Arma2OperationArrowhead,CallofDutyWorldatWar,CallofDutyBlackOpsMultiplayer,AgeofEmpiresIIHDEdition,CallofDutyModernWarfare2Multiplayer,ClickerHeroes,CastleCrashers,CallofDutyAdvancedWarfareMultiplayer,PlanetSide2,AceofSpades,CounterStrikeGlobalOffensive,FreeStyle2StreetBasketball,AmericasArmyProvingGrounds,SpiralKnights,DirtyBomb,KillingFloor,Firefall,CrysisWars,Rust,EverlastingSummer
94689795,Ricochet,CounterStrikeGlobalOffensive,Dota2,CallofDutyWorldatWar,WarThunder,DeathmatchClassic,InfestationSurvivorStories,MarvelHeroes2015,Borderlands2,Neverwinter,TheBindingofIsaac,RisingStormRedOrchestra2Multiplayer,AgeofEmpiresIIICompleteCollection,DontStarveTogetherBeta,KillingFloorModDefenceAlliance2,SpaceEngineers,SakuraClicker,ArmaColdWarAssault,MountBladeWithFireandSword,TheBindingofIsaacRebirth
94690173,Besiege,SpaceEngineers,MedievalIITotalWar,APBReloaded,MountBladeWarband,BattlefieldBadCompany2,TheBindingofIsaac,SuperMeatBoy,SidMeiersCivilizationIIIComplete,WaroftheRoses,Elsword,SourceFilmmaker,Warhammer40000DawnofWarIIChaosRising,DarkSoulsPreparetoDieEdition,Trove,StarWarsKnightsoftheOldRepublic,ZombiePanicSource,FracturedSpace,Sanctum,Spore
94708312,CallofDutyModernWarfare2Multiplayer,Left4Dead,Besiege,APBReloaded,CallofDutyAdvancedWarfareMultiplayer,CallofDutyBlackOpsMultiplayer,CallofDutyWorldatWar,CallofDutyBlackOpsIIMultiplayer,EmpireTotalWar,WarThunder,SpaceEngineers,MedievalIITotalWar,BattlefieldBadCompany2,Trove,WormsReloaded,Crysis2MaximumEdition,StarWarsKnightsoftheOldRepublic,Arma2OperationArrowhead,PlanetSide2,Firefall
94851051,Warframe,TeamFortressClassic,CallofDutyModernWarfare2,CastleCrashers,ArcheAge,Portal2,MarvelHeroes2015,PathofExile,Left4Dead2,Magicka,GoatSimulator,CrysisWars,Left4Dead,MortalKombatKompleteEdition,MassEffect2,Borderlands,TeamFortress2,CallofDutyModernWarfare2Multiplayer,ZombiePanicSource,EuroTruckSimulator2
94908699,AliensvsPredator,CallofDutyModernWarfare3Multiplayer,Arma3,SpiralKnights,CastleCrashers,BatmanArkhamAsylumGOTYEdition,DeusExHumanRevolution,HalfLife,MetroLastLight,Dishonored,CallofDutyModernWarfare2,DeadIslandRiptide,RAGE,SeriousSam3BFE,CounterStrikeNexonZombies,BLOCKADE3D,FreeStyle2StreetBasketball,Metro2033,NEOTOKYO,TheLordoftheRingsWarintheNorth
94936385,DayZ,HalfLife2Deathmatch,NapoleonTotalWar,Arma2OperationArrowhead,DungeonDefenders,TeamFortressClassic,Magicka,PathofExile,TheForest,TacticalIntervention,Borderlands2,AlienSwarm,OrcsMustDie2,FootballManager2013,FootballManager2015,MarvelHeroes2015,Trove,AmericasArmyProvingGrounds,SpeedRunners,BrickForce
95037089,Dota2,NaturalSelection2,DontStarve,Warframe,EuroTruckSimulator2,Ricochet,MetroLastLight,MagicDuels,TheWitcher2AssassinsofKingsEnhancedEdition,WolfensteinTheNewOrder,Unturned,CallofDutyBlackOps,TombRaider,CompanyofHeroesNewSteamVersion,FreetoPlay,PathofExile,Nosgoth,H1Z1,Torchlight,Robocraft
95059220,CallofDutyBlackOpsIIMultiplayer,CastleCrashers,Dota2,CallofDutyModernWarfare3,Portal,DontStarve,CrysisWars,CallofDutyBlackOps,GoatSimulator,NoMoreRoominHell,KillingFloor,TeamFortress2,AliensvsPredator,Spore,Left4Dead2,CallofDutyModernWarfare2Multiplayer,FreeStyle2StreetBasketball,Portal2,Terraria,CallofDutyBlackOpsMultiplayer
95084569,LANoire,TheWitcher2AssassinsofKingsEnhancedEdition,CitiesSkylines,EmpireTotalWar,TheWitcherEnhancedEdition,XCOMEnemyUnknown,CallofDutyModernWarfare3,PatchtestingforChivalry,FTLFasterThanLight,TotalWarROMEIIEmperorEdition,StarWarsRepublicCommando,RedFactionGuerrillaSteamEdition,AliensvsPredator,StarTrekOnline,StrongholdKingdoms,Tropico3SteamSpecialEdition,Loadout,TotalWarSHOGUN2,PlanetSide2,PlanetaryAnnihilation
95132622,APBReloaded,MountBladeWarband,TheWitcher2AssassinsofKingsEnhancedEdition,Besiege,WormsReloaded,DarkSoulsPreparetoDieEdition,MedievalIITotalWar,JustCause2,SpaceEngineers,StarWarsKnightsoftheOldRepublic,TheElderScrollsIVOblivion,RisingStormRedOrchestra2Multiplayer,SidMeiersCivilizationIIIComplete,RedFactionGuerrillaSteamEdition,OrcsMustDie,WaroftheRoses,DARKSOULSII,ZombiePanicSource,MassEffect,Sanctum
95137775,CounterStrikeGlobalOffensive,CounterStrike,Rust,Dota2,CounterStrikeSource,Arma2OperationArrowhead,CallofDutyBlackOpsIIMultiplayer,Arma3,EmpireTotalWar,AceofSpades,DayZ,H1Z1,AmericasArmyProvingGrounds,ArmaColdWarAssault,TotalWarSHOGUN2,TotalWarROMEIIEmperorEdition,AgeofEmpiresIIICompleteCollection,GrandTheftAutoV,CallofDutyBlackOpsMultiplayer,CallofDutyWorldatWar
95181268,JustCause2,KerbalSpaceProgram,NaturalSelection2,FalloutNewVegas,TheWitcher2AssassinsofKingsEnhancedEdition,TheElderScrollsIVOblivion,APBReloaded,Fallout4,TheWitcherEnhancedEdition,Borderlands,Darksiders,Brawlhalla,WaroftheRoses,HalfLifeDeathmatchSource,XCOMEnemyUnknown,Sanctum,SuperMeatBoy,MiddleearthShadowofMordor,CompanyofHeroesNewSteamVersion,DeusExGameoftheYearEdition
95279056,CounterStrikeGlobalOffensive,DungeonDefenders,Left4Dead,GarrysMod,GrandTheftAutoEpisodesfromLibertyCity,AdVentureCapitalist,FootballManager2015,Unturned,Portal2,Terraria,CallofDutyWorldatWar,PlanetSide2,BlacklightRetribution,Defiance,NapoleonTotalWar,Thief,MirrorsEdge,AgeofChivalry,FootballManager2012,AgeofEmpiresIIHDEdition
95325409,Portal2,Borderlands,Portal,Warframe,HeroesGenerals,DARKSOULSII,TheWitcher2AssassinsofKingsEnhancedEdition,FarCry3,ArmaColdWarAssault,DarkSoulsPreparetoDieEdition,GoatSimulator,Sanctum,DungeonDefendersII,DontStarveTogetherBeta,BorderlandsThePreSequel,Borderlands2,PAYDAYTheHeist,ChivalryMedievalWarfare,InsurgencyModernInfantryCombat,Left4Dead2
95380196,CallofDutyModernWarfare2Multiplayer,CallofDutyAdvancedWarfareMultiplayer,HitmanAbsolution,TheForest,TheBindingofIsaacRebirth,GameDevTycoon,CallofDutyBlackOpsMultiplayer,TheMightyQuestForEpicLoot,H1Z1,TERA,InfestationSurvivorStories,RocketLeague,BattleBlockTheater,BrickForce,Hammerwatch,Warhammer40000DawnofWarII,SeriousSamHDTheSecondEncounter,DivinityOriginalSin,Rust,DoubleActionBoogaloo
95440541,TheForest,Firefall,CallofDutyBlackOpsIIMultiplayer,CallofDutyAdvancedWarfareMultiplayer,Rust,CallofDutyBlackOpsMultiplayer,CallofDutyWorldatWar,Ricochet,AceofSpades,CallofDutyGhostsMultiplayer,CallofDutyModernWarfare2Multiplayer,DiRT3CompleteEdition,CastleCrashers,DayofDefeatSource,CounterStrikeConditionZero,AgeofEmpiresIIICompleteCollection,H1Z1,Thief,CounterStrikeSource,7DaystoDie
95531306,CompanyofHeroesNewSteamVersion,APBReloaded,MedievalIITotalWar,Metro2033,StarWarsKnightsoftheOldRepublic,MassEffect,WormsReloaded,JustCause2,TheElderScrollsIVOblivion,Thief,BlacklightRetribution,HalfLife2EpisodeOne,Defiance,TheBindingofIsaac,ZombiePanicSource,DeadIslandEpidemic,Psychonauts,MetroLastLight,NaturalSelection2,BatmanArkhamOrigins
95695156,ARKSurvivalEvolved,Besiege,DeadIslandEpidemic,DeathmatchClassic,Arma2,PlanetSide2,NaturalSelection2,BattleBlockTheater,TomClancysGhostReconPhantomsNA,DungeonDefenders,SpaceEngineers,MedievalIITotalWar,CounterStrikeSource,RiskofRain,BattlefieldBadCompany2,TorchlightII,TheElderScrollsVSkyrim,Warframe,RomeTotalWar,Banished
95699780,ChivalryMedievalWarfare,MarvelHeroes2015,SimCity4Deluxe,Warframe,TheBindingofIsaac,Spore,CallofDutyModernWarfare2,APBReloaded,Terraria,Trine2,GoatSimulator,TitanQuest,TheStanleyParable,BatmanArkhamCityGOTY,Portal,ScribblenautsUnlimited,AssassinsCreedIII,HalfLifeDeathmatchSource,StarWarsBattlefrontII,StarWarsJediKnightJediAcademy
95780749,TeamFortress2,CallofDutyModernWarfare2,TheElderScrollsIVOblivion,SuperMondayNightCombat,AliensvsPredator,Borderlands,Left4Dead,HeroesGenerals,RIFT,ChivalryMedievalWarfare,TotalWarSHOGUN2,PAYDAY2,DeathmatchClassic,TheWitcherEnhancedEdition,AmnesiaTheDarkDescent,Left4Dead2,NapoleonTotalWar,CastleCrashers,NeedforSpeedHotPursuit,Portal2
95853467,Left4Dead,CallofDutyBlackOpsMultiplayer,SeriousSam3BFE,KillingFloor,SaintsRowTheThird,SurgeonSimulator,Arma3,SniperEliteV2,HalfLife2EpisodeTwo,Arma2,Metro2033,Hammerwatch,JustCause2,RocketLeague,AgeofEmpiresIIHDEdition,Hitman2SilentAssassin,FarCry3,Insurgency,TomClancysGhostReconPhantomsNA,Dishonored
95898619,PlanetSide2,Arma2OperationArrowhead,RIFT,AdVentureCapitalist,Hammerwatch,Terraria,ARKSurvivalEvolved,GunMonkeys,Left4Dead,Fallout3GameoftheYearEdition,Thief,RealmoftheMadGod,MedievalIITotalWar,DragonAgeOriginsUltimateEdition,BlacklightRetribution,Starbound,DeadIslandEpidemic,RocketLeague,TorchlightII,Trove
95911580,CounterStrikeConditionZero,Arma3,AgeofEmpiresIIHDEdition,Warhammer40000DawnofWarIIRetribution,AgeofEmpiresIIICompleteCollection,TheWalkingDead,PathofExile,WarThunder,ArmaColdWarAssault,CallofDutyModernWarfare3,TotalWarSHOGUN2,GoatSimulator,AdVentureCapitalist,EuroTruckSimulator2,OrcsMustDie2,SeriousSam3BFE,UberStrike,Portal2,SpaceChem,RisingStormRedOrchestra2Multiplayer
95996939,DontStarve,Banished,Warhammer40000SpaceMarine,StrongholdKingdoms,PlanetaryAnnihilation,ARKSurvivalEvolved,TomClancysGhostReconPhantomsEU,EndlessSpace,Besiege,CallofDutyBlackOpsII,Spore,StarConflict,CallofDutyGhosts,Warhammer40000DawnofWarIIRetribution,Warhammer40000DawnofWarIIChaosRising,HowtoSurvive,SeriousSamHDTheSecondEncounter,Rust,ORIONPrelude,Trine2
96001430,Left4Dead2,Unturned,CallofDutyBlackOps,GoatSimulator,DontStarve,NEOTOKYO,NoMoreRoominHell,ArcheAge,ZombiePanicSource,NaturalSelection2,Borderlands,Portal,HalfLife2Deathmatch,HeroesGenerals,Torchlight,ChivalryMedievalWarfare,RACE07,FTLFasterThanLight,HalfLifeDeathmatchSource,SuperMondayNightCombat
96014467,MountBladeWarband,XCOMEnemyUnknown,ArmaColdWarAssault,TheWitcher2AssassinsofKingsEnhancedEdition,RisingStormRedOrchestra2Multiplayer,PatchtestingforChivalry,LANoire,CallofDutyModernWarfare2,Warhammer40000DawnofWarIIChaosRising,DARKSOULSII,Warhammer40000SpaceMarine,Tropico3SteamSpecialEdition,SniperEliteV2,StarTrekOnline,PlanetaryAnnihilation,DeadIsland,RedFactionGuerrillaSteamEdition,PrisonArchitect,BatmanArkhamOrigins,RIFT
96057546,ZombiePanicSource,Borderlands,GoatSimulator,GarrysMod,ArcheAge,DeathmatchClassic,Left4Dead,HeroesGenerals,ChivalryMedievalWarfare,TheBindingofIsaac,HalfLifeDeathmatchSource,BattlefieldBadCompany2,APBReloaded,SourceFilmmaker,StarWarsBattlefrontII,Spore,DeadIslandEpidemic,RACE07,Audiosurf,Left4Dead2
96167505,InfestationSurvivorStories,Aftermath,AmericasArmyProvingGrounds,CounterStrikeNexonZombies,Insurgency,SeriousSam3BFE,Panzar,Ricochet,GRID2,DeusExHumanRevolution,DiRT3CompleteEdition,BLOCKADE3D,DragonsandTitans,Arma3,UberStrike,SpecOpsTheLine,RagnarokOnline2,AceofSpades,FreeStyle2StreetBasketball,GrandTheftAutoSanAndreas
96204317,CallofDutyBlackOpsIIMultiplayer,CastleCrashers,DirtyBomb,GrandTheftAutoV,AlanWake,FreeStyle2StreetBasketball,EverlastingSummer,MagickaWizardWars,AmericasArmyProvingGrounds,MaxPayne3,CallofDutyBlackOpsMultiplayer,CounterStrike,EuroTruckSimulator2,DCUniverseOnline,SeriousSam3BFE,BLOCKADE3D,Strife,AgeofEmpiresIIICompleteCollection,Ricochet,HalfLifeDeathmatchSource
96249915,TeamFortress2,Borderlands,WarThunder,ZombiePanicSource,APBReloaded,WormsReloaded,ChivalryMedievalWarfare,Spore,ArcheAge,Left4Dead2,HalfLifeDeathmatchSource,DarkSoulsPreparetoDieEdition,TheBindingofIsaac,CallofDutyBlackOps,TheElderScrollsIVOblivion,GarrysMod,DeusExGameoftheYearEdition,StarWarsKnightsoftheOldRepublic,SourceFilmmaker,TribesAscend
96282673,SidMeiersCivilizationV,KerbalSpaceProgram,CallofDutyAdvancedWarfareMultiplayer,TheBindingofIsaacRebirth,BattlefieldBadCompany2,RomeTotalWar,Besiege,WarThunder,SeriousSamHDTheSecondEncounter,ZombiePanicSource,ArcheAge,Borderlands2,OrcsMustDie2,AlienSwarm,DeadSpace,SakuraClicker,HeroesGenerals,Sanctum,WaroftheRoses,Insurgency
96400571,SpaceEngineers,CompanyofHeroesNewSteamVersion,AgeofChivalry,GrandTheftAutoV,AgeofEmpiresIIHDEdition,MetroLastLight,MedievalIITotalWar,Thief,HalfLife2EpisodeOne,ClickerHeroes,GrandTheftAutoIV,CallofDutyBlackOpsIIZombies,CallofDutyWorldatWar,APBReloaded,BlacklightRetribution,HeroesGenerals,Spore,RiseofIncarnates,RealmoftheMadGod,TacticalIntervention
96440794,FarCry3,Ricochet,Portal,TheForest,JustCause2,Firefall,7DaystoDie,CounterStrikeSource,TotalWarSHOGUN2,DayofDefeatSource,TheStanleyParable,HalfLife2LostCoast,BorderlandsThePreSequel,FEARExtractionPoint,HalfLife2EpisodeTwo,HalfLife2,AssassinsCreedIII,CounterStrike,HalfLife2EpisodeOne,BrtalLegend
96556535,CounterStrike,DCUniverseOnline,PAYDAY2,Unturned,CastleCrashers,AmericasArmyProvingGrounds,Arma2OperationArrowhead,Robocraft,CallofDutyBlackOpsIIMultiplayer,Arma3,GarrysMod,GrandTheftAutoV,Ricochet,CounterStrikeSource,HalfLife2Deathmatch,AliensvsPredator,TotalWarROMEIIEmperorEdition,FootballManager2015,PlanetSide2,MaxPayne3
96588736,Borderlands2,BorderlandsThePreSequel,JustCause2,Portal,HalfLifeDeathmatchSource,WormsReloaded,APBReloaded,TheElderScrollsIVOblivion,TheWitcher2AssassinsofKingsEnhancedEdition,SurgeonSimulator,Psychonauts,MiddleearthShadowofMordor,BlacklightRetribution,WarThunder,Starbound,RisingStormRedOrchestra2Multiplayer,AliensvsPredator,FEAR3,DayofDefeatSource,SimCity4Deluxe
96781711,Besiege,CallofDutyBlackOpsMultiplayer,CallofDutyAdvancedWarfareMultiplayer,SpaceEngineers,CallofDutyWorldatWar,HeroesGenerals,APBReloaded,DayofDefeatSource,CallofDutyModernWarfare3Multiplayer,TheBindingofIsaac,Firefall,BattlefieldBadCompany2,WarThunder,StarWarsKnightsoftheOldRepublic,Starbound,CommandandConquerRedAlert3Uprising,H1Z1TestServer,ZombiePanicSource,CallofDutyGhostsMultiplayer,WaroftheRoses
96836693,ZombiePanicSource,Left4Dead,TheBindingofIsaac,APBReloaded,Borderlands,SourceFilmmaker,MountBladeWarband,GoatSimulator,SuperMeatBoy,Elsword,BattlefieldBadCompany2,ArcheAge,Spore,GarrysMod,DeathmatchClassic,TheElderScrollsIVOblivion,AgeofChivalry,MedievalIITotalWar,Left4Dead2,DeadIslandEpidemic
96902425,Ricochet,Dota2,DontStarve,CallofDutyModernWarfare2Multiplayer,AgeofEmpiresIIICompleteCollection,H1Z1,Neverwinter,DeathmatchClassic,Portal2,InfestationSurvivorStories,PathofExile,DontStarveTogetherBeta,CallofDutyBlackOpsIIMultiplayer,RisingStormRedOrchestra2Multiplayer,Portal,KillingFloorModDefenceAlliance2,EuroTruckSimulator2,TheBindingofIsaac,PAYDAY2,Borderlands2
96914675,TheElderScrollsIVOblivion,GoatSimulator,Left4Dead,ZombiePanicSource,RisingStormRedOrchestra2Multiplayer,APBReloaded,Borderlands,ScribblenautsUnlimited,WormsReloaded,JustCause2,StarWarsBattlefrontII,Borderlands2,TheWitcherEnhancedEdition,AgeofChivalry,StarWarsRepublicCommando,SakuraClicker,Defiance,RedFactionGuerrillaSteamEdition,DeusExGameoftheYearEdition,AmnesiaTheDarkDescent
96963765,CounterStrike,CounterStrikeGlobalOffensive,Ricochet,Unturned,PathofExile,Rust,CallofDutyBlackOpsIIMultiplayer,Robocraft,Warframe,CastleCrashers,DCUniverseOnline,Left4Dead2,PAYDAY2,DontStarve,CallofDutyModernWarfare3,GrandTheftAutoV,EuroTruckSimulator2,Loadout,CounterStrikeSource,FreetoPlay
97017439,Left4Dead2,GoatSimulator,ArcheAge,Unturned,NEOTOKYO,CallofDutyBlackOps,ZombiePanicSource,Borderlands,NaturalSelection2,ChivalryMedievalWarfare,NoMoreRoominHell,GarrysMod,DontStarve,HeroesGenerals,Portal,RACE07,HalfLifeDeathmatchSource,DeathmatchClassic,HalfLife2Deathmatch,CrysisWars
97069030,CompanyofHeroes,Darksiders,DeadIslandEpidemic,SpaceEngineers,GrandTheftAutoV,RocketLeague,AgeofChivalry,SpeedRunners,BlacklightRetribution,AssassinsCreedII,NapoleonTotalWar,JustCause2,DayofDefeatSource,CallofDutyWorldatWar,CallofDutyAdvancedWarfareMultiplayer,HalfLifeDeathmatchSource,HalfLife2EpisodeOne,TomClancysGhostReconPhantomsNA,EmpireTotalWar,CallofDutyGhostsMultiplayer
97298878,MountBladeWarband,BlacklightRetribution,MedievalIITotalWar,Firefall,FootballManager2012,CompanyofHeroes,AgeofChivalry,SpaceEngineers,HalfLife2EpisodeOne,FarCry3,ARKSurvivalEvolved,FootballManager2015,Thief,DungeonDefenders,BattlefieldBadCompany2,Arma2,Starbound,RisingStormRedOrchestra2Multiplayer,StarWarsKnightsoftheOldRepublic,DivinityOriginalSin
97474440,HeroesGenerals,ZombiePanicSource,CallofDutyModernWarfare2,Besiege,SpaceEngineers,ChivalryMedievalWarfare,WaroftheRoses,TheWitcher2AssassinsofKingsEnhancedEdition,GoatSimulator,RomeTotalWar,H1Z1TestServer,FalloutNewVegas,BattlefieldBadCompany2,Portal,CallofDutyBlackOpsMultiplayer,Borderlands,Starbound,MedievalIITotalWar,CommandandConquerRedAlert3Uprising,DayofDefeatSource
